
REQ. FAILED
1000 773
500 480
40 15
20 0
30 4
25 2

|--------------------------------------------|
|URL                           |COD.  |FREQ. |
|--------------------------------------------|
|//2                           |404   |     4|
|/route3                       |499   |   413|
|//1                           |404   |     2|
|/route1                       |500   |    92|
|/route2                       |500   |    96|
|/route1                       |499   |   441|
|/health                       |500   |    77|
|/                             |499   |   410|
|//0                           |404   |     3|
|/healt                        |404   |     1|
|/route3                       |500   |   120|
|/                             |200   | 47825|
|/route3                       |203   |    63|
|/health                       |200   |    84|
|/                             |502   |    21|
|/                             |500   |    96|
|/route2                       |499   |   407|
|/health                       |499   |   422|
|/route2                       |202   |    97|
|/healt                        |502   |     1|
|/route1                       |201   |    77|
|//3                           |404   |     2|
|--------------------------------------------|



